tender_ref,tender_description,tender_category,advertised_date,closing_date,industry,tender_requested_by_dept,tender_type,province,service_location,special_conditions,contact_person,contact_email,contact_telephone,attachments,attachment_download_url,created_time,briefing_session,briefing_compulsory,briefing_date_time,briefing_venue,trial_data,tender_review_summary,id,created_at
SAST/RFQ/2025/281,Supply and installation of roof floors,,45978,45966,CONSTRUCTION,,RFQ,Gauteng,320 Pretorius street - Pretoria - Pretoria - 0025,"Kindly attach: • Fully completed SBD1,SBD 4 and 6.1( Score page 5 of 7 on SBD 6.1) • Completed POPIA -Consent form • Signed GCC (all pages must be signed) • CSD Report   • Valid B-BBEE certificate or Affidavit in case of EME or QSE • Valid SARS Tax pin certificate • Certified Share certificate • CIPC -Company registration • Directors IDs (all directors listed in the CIPC)",Phindile Mabasa,RFQ@statetheatre.co.za,012-392-4000,,,2025-11-17 12:58:25.876+00,1,1,2025-11-25 11:00:00+00,The South African state theatre,,,06a5c3b7-7f62-432f-908e-60c0c8bd89de,2025-11-17 12:58:26.923213+00
ITVETC-001/10/2025,APPOINTMENT OF A CONTRACTOR FOR THE SUPPLY AND INSTALLATION OF BLOCK B & WORKSHOP ELEVATOR AT IKHALA TVET COLLEGE ALIWAL NORTH CAMPUS (4GB PE OR 4 ME PE OR HIGHER),,45954,45978,CONSTRUCTION,,RFQ,Eastern Cape,"ZONE D, 2020 GWADANA DRIVE, EZIBELENI - QUEENSTOWN - QUEENSTOWN - 5326","Documents can be purchased from Supply Chain Management Unit, Ikhala TVET College, Administration Centre, OR can be downloaded from National Treasury Portal at a Non refundable fee of R150 each. Suppliers should send the proof of payment to SCM and attached PoP on the tender document upon the return of the submission.",MR NKOSINATHI FUTSHANE,nkosinathi.futshane@ikhala.edu.za,071-898-3042,,,2025-10-24 12:37:13.027+00,1,1,2025-10-30 10:00:00+00,ONLINE COMPULSORY INFORMATION SESSION,,,06f649dc-1156-4de2-9081-e69a17e2f2d5,2025-10-24 12:37:13.259836+00
10111514,"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to Maintain, Service and Repair Security Systems at Durban Office on a month-to-month basis for a period not exceeding six (6) months).",,45918,45925,SECURITY,,RFQ,KwaZulu-Natal,,,Phakamani Zulu,phakamaniz@raf.co.za,031-365-2979,,,2025-09-18 12:40:39.557+00,1,1,2025-09-22 11:00:00+00,"12th Floor Embassy Building, RAF Durban Offices",,,07b2cb76-9050-4877-93e7-b737c7806fb5,2025-09-18 12:40:40.525723+00
EEC/T04/2025,Stormwater reticulation and installation of carports at Benoni campus,,45911,45919,CONSTRUCTION,,RFQ,Gauteng,O`Reilly Merry Street in Benoni - Northmead - Benoni - 1501,1. Compulsory briefing session 2. CIDB Grading : 6CE 3. Tender amount: 1000,Ms Azwihangwisi Tshitema,azwihangwisit@eec.edu.za,011-730-6600,,,2025-09-11 12:57:56.413+00,1,1,2025-09-18 10:00:00+00,"Ekurhuleni East TVET College, Benoni Campus Staff Room, O`Reilly Merry Street Benoni,",,,08630b62-ec4b-4be0-885a-283bffed1254,2025-09-11 12:57:57.866591+00
PWRT/2602/25/MP,"RENOVATION AND CONSTRUCTION OF LUGEBHUTA SECONDARY SCHOOL, IN SCHOEMANSDAL, SHONGWE MISSION, NKOMAZI LOCAL MUNICIPALITY, MPUMALANGA PROVINCE - PHASE 03",,45909,45932,CONSTRUCTION,,RFQ,Mpumalanga,"Riversisde Government Complex, Building no: 9, Government Boulevard - Riverside - Mbombela - 1200",,Mr L Buasi,LBuasi@mpg.gov.za,013-766-8920,,,2025-09-09 10:02:28.361+00,1,1,2025-09-17 10:00:00+00,"Lugebhuta Secondary School, Schoemansdal, Nkomazi Local Municipality",,,08d9c64b-79ee-4483-87e1-87e496b320ae,2025-09-09 10:02:29.032983+00
TMT-DBE-25/26-SAFE6-KZNCL2,TENDER DOCUMENT FOR CONSTRUCTION OF SANITATION FACILITIES AT LUNDINI PRIMARY SCHOOL IN KWAZULU NATAL PROVINCE,,45931,45945,CONSTRUCTION,,RFQ,KwaZulu-Natal,69 Devereux Avenue - Vincent - East London - 5201,,Anele Nqambi,anele@themvulatrust.org.za,043-726-2255,,,2025-10-01 12:12:16.699+00,0,0,,,,,097bb570-b823-4fde-a137-8db14eea425c,2025-10-01 12:12:17.331135+00
GMQ073/25-26,GMQ073/25-26 – Appointment of a Service Provider for CCTV Surveillance Training and Body Language Course for CCTV Operators,,45937,45947,SECURITY,,RFQ,Western Cape,71 York Street - George - George - 6530,,Claudette Rondganger,crondganger@george.gov.za,044-801-9304,,,2025-10-07 12:27:22.955+00,0,0,,,,,0a9e1f41-11e3-4b98-a296-be4a3e2be645,2025-10-07 12:27:22.945474+00
WTE136CE..,"The Removal of Bees from Construction East - Grootdraai Dam ,Vlakfontein Canal and Standerton WTW close to Standerton in the Mpumalanga Province",,45909,45926,CONSTRUCTION,,RFQ,Mpumalanga,Vlakfontein Canal Project - standerton - standerton - 2430,"SUBMIT COMPLETED AND SIGNED BID DOCUMENTS TO: POSTAL ADDRESS: OR TO BE DEPOSITED IN: Department of Water and Sanitation The bid box at the entrance of Supply Chain Management Office Construction East Office Building Private Bag X2023 Grootdraai Dam STANDERTON STANDERTON 2430 2430 Physical Address: Ermelo R 39 Road, Grootdraai Dam close to Standerton Construction East Office 2430 Compulsory Briefing Session Date: 18 September 2025 Time: 10am Venue: Grootdraai Dam, Vlakfontein Canal and Standerton WTW in the Mpumalanga Province.",Rejoice Kubheka,kubhekan@dws.gov.za,017-720-1616,,,2025-09-09 09:52:44.586+00,1,1,2025-09-18 10:00:00+00,Vlakfontein Canal Project near Standerton,,,0adc0350-eb26-40cf-bc87-e236c620b919,2025-09-09 09:52:44.809119+00
E1709DXEC,EXECUTION AND CONSTRUCTION OF MIDDELBURG/BULHOEK 22KV STRENGTHENING PHASE 2,,45884,45925,CONSTRUCTION,,RFQ,Eastern Cape,Corner Querera Drive and Bonza Bay Road - Beacon Bay - East London - 5205,N/A,Lonwabo Mavukwana,mavukwlm@eskom.co.za,043-703-2023,,,2025-08-15 11:13:46.45+00,1,1,,Eskom Middelburg Substation,,,0b3a69bc-ee25-4312-b8d8-ec4f2644ab6d,2025-08-15 11:13:47.287847+00
E1729NTCSAWG,E1729NTCSAWG - Cleaning services and general labour services for the various sites in the Western Grid (Western and Northern Cape) for 36 months,,45890,45926,CLEANING,,RFQ,Western Cape,60 Voortrekker Road - Bellville - Bellville - 7535,PLEASE DOWN ALL TENDER DOCUMENTS FROM NTCSA TENDERBULLETIN OR NT WEBSITE,Sandi Bokveldt-Lize,LizeSN@ntcsa.co.za,021-980-3003,,,2025-08-21 10:56:34.853+00,1,0,2025-08-28 10:00:00+00,MS Teams,,,0b47f249-b21e-4cf1-aa99-5199c1ff2114,2025-08-21 10:56:35.817645+00
DLRRD (CRD-09) 2025/26,THE APPOINTMENT OF A SERVICE PROVIDER TO RENDER CLEANING AND HYGIENE SERVICES FOR THE DEPARTMENT OF LAND REFORM AND RURAL DEVELOPMENT- EASTERN CAPE DEEDS REGISTRY: MTHATHA FOR A PERIOD OF 36 MONTHS.,,45968,45992,CLEANING,,RFQ,Eastern Cape,"Eastern Cape Deeds Registry: Corner Owen and Leeds Street, Botha Sigcau Building - Mthatha - East London - 5200",,BUTI MATJILA,Buti.Matjila@deeds.gov.za,082-385-4570,,,2025-11-07 12:23:08.608+00,1,1,2025-11-29 12:30:00+00,"Eastern Cape Deeds Registry: Corner Owen and Leeds Street, Botha Sigcau Building",,,0bb9cb38-632b-4941-920c-92750cfdb3b7,2025-11-07 12:23:09.672534+00
ZNQSRO25/2025-2026,"DEPARTMENT OF PUBLIC WORKS: THE APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO RENDER THE SAFEGUARDING AND SECURITY SERVICES FOR A PERIOD OF FOUR (4) MONTHS AT SOUTHERN REGION OFFICE: 10 -18 PRINCE ALFRED STREET EXTENSION, PIETERMARITZBURG.",,45967,45975,SECURITY,,RFQ,KwaZulu-Natal,10-18 Prince Alfred Street - Campsdrifts - Town - 3201,"Only Bidders registered within the applicable Central Suppliers Database, PSIRA, a letter of Good Standing with PSIRA, ICASA AND COIDA will be eligible to submit bids. The Preference points system is applicable for this bid 80/20, where 20 Points of specific goals per project allocated • Ownership by People who are Youth: 10 points. • 51% Ownership by People who are Military Veterans: 10 points",Ms J. Ngidi,janet.ngidi@kznworks.gov.za,033-897-1300,,,2025-11-06 13:09:59.03+00,0,0,,,,,0c416b21-cebe-4421-a35a-05994733505b,2025-11-06 13:09:59.617221+00
LDPWRI-B20564,Appointment of a Turkey Contractor for the Refurbishment of the Parliamentary Club House at the Parliamentary Village - Once Off,,45923,45944,CONSTRUCTION,,RFQ,Limpopo,43 CHURCH STREET - POLOKWANE - POLOKWANE - 0699,Supplier should be 6 GB or Higher Tender should be dropped at Corner River & Blaauwberg Street Ladanna,NJ Motsopye,motsopyenj@dpw.limpopo.gov.za,015-284-7126,,,2025-09-23 13:30:50.637+00,1,1,2025-10-01 11:00:00+00,Parliamentary Village Club House at Parliamentary Village,,,0c52ca80-6ce3-41d3-8bc5-1688731bd439,2025-09-23 13:30:51.100222+00
EMLM 06/2026,PROVISION OF VIP PROTECTION AND STATIC SECURITY SERVICES IN ELIAS MOTSOALEDI LOCAL MUNICIPALITY FOR A PERIOD OF THREE (3) YEARS (RE-ADVERT),,45975,46006,SECURITY,,RFQ,Limpopo,2nd Grober Avenue - Groblersdal - Groblersdal - 0470,,V Masilela,vmasilela@emlm.gov.za,013-262-3056,,,2025-11-14 13:05:28.943+00,1,1,2025-12-03 11:00:00+00,"Municipal Chamber (2nd Grobler Avenue, Groblersdal 0470)",,,0c77a262-7dc4-426d-8487-a3d1febea595,2025-11-14 13:05:30.07249+00
IZIKO-RFQ – SLIDING DOOR - RFQ-2025/10/08,The Iziko South African Museum is looking to procure supply and installation of glass sliding door for ISAM200 commemorative garden,,45943,45952,CONSTRUCTION,,RFQ,Western Cape,,"Quotes / Proposals, and accompanying documentation, must be emailed to (SCM) 021 481 3917 Sikelwa Madlavu smadlavu@iziko.org.za and scm@iziko.org.za",Gabriel Lukoji,glukoji@iziko.org.za,021-481-7240,,,2025-10-14 07:27:52.026+00,1,1,2025-10-15 10:00:00+00,"Iziko South African Museum, 25 Queen Victoria Street, Gardens, Cape Town 8001",,,0ce8e5c8-631a-47b2-a514-408aa4e58d0b,2025-10-14 07:27:51.687304+00
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
